company_id,company_name,pros,cons,confidence_score
ABB,Abbott India Ltd,High ROCE (>20%); Strong ROE; Healthy operating margin; Comfortable interest coverage; Healthy profit growth; EPS growing consistently,Expensive valuation,0.35
ADANIENSOL,Adani Energy Solutions Ltd,Healthy operating margin; Healthy revenue growth,Low ROCE; Weak ROE; Weak interest coverage; Slow profit growth; Weak EPS growth; Expensive valuation,0.4
ADANIENT,Adani Enterprises Ltd,Healthy revenue growth; Healthy profit growth; EPS growing consistently,Expensive valuation,0.2
ADANIGREEN,Adani Green Energy Ltd,High ROCE (>20%); Healthy operating margin; Healthy revenue growth,Weak interest coverage; Expensive valuation,0.25
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Strong ROE; Healthy operating margin; Comfortable interest coverage; Healthy revenue growth; Healthy profit growth; EPS growing consistently,Expensive valuation,0.35
ADANIPOWER,Adani Power Ltd,High ROCE (>20%); Strong ROE; Healthy operating margin; Comfortable interest coverage; Healthy revenue growth,Expensive valuation,0.3
AMBUJACEM,Ambuja Cements Ltd,Comfortable interest coverage; Good dividend yield,Weak ROE; Slow revenue growth; Weak EPS growth; Expensive valuation,0.3
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Comfortable interest coverage; Healthy revenue growth; Healthy profit growth; EPS growing consistently; Good dividend yield,Expensive valuation,0.3
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",High ROCE (>20%); Strong ROE; Comfortable interest coverage; Healthy revenue growth; Healthy profit growth; EPS growing consistently; Good dividend yield,Expensive valuation,0.4
ATGL,Adani Total Gas Ltd,High ROCE (>20%); Strong ROE; Healthy operating margin; Comfortable interest coverage; Healthy revenue growth,Expensive valuation,0.3
AXISBANK,Axis Bank Ltd,Strong ROE; Healthy operating margin; Healthy revenue growth; Healthy profit growth; EPS growing consistently; Good dividend yield,Low ROCE; Weak interest coverage,0.4
BAJAJ-AUTO,Bajaj Auto Ltd,High ROCE (>20%); Strong ROE; Comfortable interest coverage; Healthy revenue growth; Good dividend yield,None,0.25
BAJAJFINSV,Bajaj Finserv Ltd,High ROCE (>20%); Healthy operating margin; Healthy revenue growth; Healthy profit growth; EPS growing consistently; Good dividend yield,None,0.3
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Healthy operating margin; Comfortable interest coverage; Healthy revenue growth; Healthy profit growth; EPS growing consistently; Good dividend yield,None,0.3
BAJFINANCE,Bajaj Finance Ltd,Strong ROE; Healthy operating margin; Comfortable interest coverage; Healthy revenue growth; Healthy profit growth; EPS growing consistently,Expensive valuation,0.35
BANKBARODA,Bank of Baroda,Strong ROE; Healthy operating margin; Healthy profit growth; EPS growing consistently; Good dividend yield,Low ROCE; Weak interest coverage,0.35
BEL,Bharat Electronics Ltd,High ROCE (>20%); Strong ROE; Healthy operating margin; Comfortable interest coverage; Healthy revenue growth; Healthy profit growth; EPS growing consistently,None,0.35
BHARTIARTL,Bharti Airtel Ltd,Healthy operating margin; Healthy revenue growth,Expensive valuation,0.15
BHEL,"Bharat Heavy Electricals Limited
",Good dividend yield,Low ROCE; Weak ROE; Slow revenue growth; Low operating margin,0.25
BOSCHLTD,Bosch Ltd,High ROCE (>20%); Strong ROE; Comfortable interest coverage; Healthy revenue growth; Healthy profit growth; EPS growing consistently; Good dividend yield,Expensive valuation,0.4
BPCL,Bharat Petroleum Corporation Ltd,High ROCE (>20%); Strong ROE; Comfortable interest coverage; Healthy profit growth; EPS growing consistently,Expensive valuation; Low operating margin,0.35
BRITANNIA,Britannia Industries Ltd,High ROCE (>20%); Strong ROE; Comfortable interest coverage,Expensive valuation,0.2
